ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|8aafeb02b9948f661a7e9f7f7dff2805|2020-02-16|02:28:40|1581838120|grocery_pos|304.52|1|fraud_Bogisich Inc|34.940910|-79.912797
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|f8e8574e8b87ac4c1919050c396c336e|2020-02-16|00:47:27|1581832047|grocery_pos|268.15|1|fraud_Miller-Hauck|35.726366|-81.398977
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|956fc6f46f3c53dabae59200bf8e99d8|2020-02-16|03:26:52|1581841612|grocery_pos|306.40|1|fraud_Hudson-Ratke|35.089638|-81.737264
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|3550731eb587d41b87dd43f8014541ba|2020-02-16|02:55:58|1581839758|grocery_pos|318.02|1|fraud_Kunze Inc|34.885565|-81.598974
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|e4da89d5dca85d79f0ae2f8fc1de02f3|2020-02-16|01:55:13|1581836113|misc_net|873.23|1|fraud_Flatley-Durgan|35.060647|-80.046429
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|b833319edcc513c01c3f159bf73824fa|2020-02-16|17:43:56|1581893036|shopping_net|1073.26|1|fraud_Greenholt, O'Hara and Balistreri|36.068312|-81.584562
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|b93b370a742c5825f40780b1401e7019|2020-02-16|14:17:51|1581880671|shopping_net|968.21|1|fraud_Fisher Inc|35.532704|-81.447557
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|3895018eae43b56cc6893e3b53f999f1|2020-02-16|22:49:26|1581911366|shopping_net|983.92|1|fraud_Kerluke-Abshire|34.254072|-81.635128
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|62364b751c131456ada85bdd8222efd9|2020-02-17|22:03:34|1581995014|shopping_pos|894.67|1|fraud_Okuneva, Schneider and Rau|36.008071|-80.743370
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json|d2f5003e478dd5cd964b16fa122a6945|2019-04-12|11:43:18|1555083798|gas_transport|75.69|0|fraud_Eichmann, Bogan and Rodriguez|35.375304|-81.488743
